SITE ID,SITE NAME,LONG,LAT
COOB002,COB002MD1_TSEL_PringsewuIIIMD1,104.987,-5.36028
COB011,COB011MG1_TSEL_WLLCampangMG1,105.297,-5.40767
COB012,COB012MG1_TSEL_WLLGriyaSukarameLampungMG1,105.306,-5.38754
COB032,COB032MG1_TSEL_CombatTaniaMakmurMG1,104.961458,-3.753181
COB015,N_COB015AG1_TSEL_CombatTegalMuktiAG1,105.023099,-4.445435
COB048,N_COB048MG1_TSEL_CombatBeringinJayaMG1,104.87043,-4.19188
COB010,COB010MD1_TSEL_CombatLPPPIMD1,103.097,-1.01556
COB054,COB054MG1_TSEl_CombatPTKIMMG1,101.759021,-1.402248
COB068,COB068MD1_TEL_BK10GumawangMD1,104.648105,-4.109373
COB051,COB051MD1_TSEL_CombatOKIPP2MD1,105.284,-2.74436
COB068,COB068MD1_TEL_BK10GumawangMD1,104.648105,-4.109373
COB051,COB051MD1_TSEL_CombatOKIPP2MD1,105.284,-2.74436
