SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
MGR001,MGR001MD1,Manggar,MGR001,Manggar,MGR003,Gantung,MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
MGR001,MGR001MD1,Manggar,MGR003,Gantung,MGR012,Tanjung Batu Itam,MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR001,MGR001MD1,Manggar,MGR012,Tanjung Batu Itam,MGR011,Dendang Belitung,MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR001,MGR001MD1,Manggar,MGR011,Dendang Belitung,TJN010,Membalong,MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR001,MGR001MD1,Manggar,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR001,MGR001MD1,Manggar,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR001,MGR001MD1,Manggar,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR002,MGR002MD1,Kelapa Kampit,MGR002,MGR002MD1_TSEL_KelapaKampit,MGR004,Buding,MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
MGR002,MGR002MD1,Kelapa Kampit,MGR004,Buding,TJN027,Kacang Butor,MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR002,MGR002MD1,Kelapa Kampit,TJN027,Kacang Butor,TJN020,Sungai Samak,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR002,MGR002MD1,Kelapa Kampit,TJN020,Sungai Samak,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR003,MGR003MD1,Gantung,MGR003,Gantung,MGR012,Tanjung Batu Itam,MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR003,MGR003MD1,Gantung,MGR012,Tanjung Batu Itam,MGR011,Dendang Belitung,MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR003,MGR003MD1,Gantung,MGR011,Dendang Belitung,TJN010,Membalong,MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR003,MGR003MD1,Gantung,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR003,MGR003MD1,Gantung,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR003,MGR003MD1,Gantung,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR004,MGR004MG1,Buding,MGR004,Buding,TJN027,Kacang Butor,MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR004,MGR004MG1,Buding,TJN027,Kacang Butor,TJN020,Sungai Samak,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR004,MGR004MG1,Buding,TJN020,Sungai Samak,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR007,MGR007MG1,Perumahan Mempaya,MGR007,Perumahan Mempaya,MGR025,Sukamandi,MGR007<>MGR025_IPASO1000_TELKOM_100_7742
MGR007,MGR007MG1,Perumahan Mempaya,MGR025,Sukamandi,MGR001,Manggar,MGR025<>MGR001_IPASO400_TELKOMSEL_50_7191
MGR007,MGR007MG1,Perumahan Mempaya,MGR001,Manggar,MGR018,Air Kelik,MGR001<>MGR018_IPASO400_TELKOMSEL_100_7491
MGR007,MGR007MG1,Perumahan Mempaya,MGR018,Air Kelik,MGR002,Kelapa Kampit,MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
MGR007,MGR007MG1,Perumahan Mempaya,MGR002,Kelapa Kampit,MGR004,Buding,MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
MGR007,MGR007MG1,Perumahan Mempaya,MGR004,Buding,TJN027,Kacang Butor,MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR007,MGR007MG1,Perumahan Mempaya,TJN027,Kacang Butor,TJN020,Sungai Samak,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR007,MGR007MG1,Perumahan Mempaya,TJN020,Sungai Samak,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,MGR008,MGR008MG1_TSEL_JangkarAsam,MGR003,Gantung,MGR008<>MGR003_IPASO400_TELKOMSEL_50_7498
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,MGR003,Gantung,MGR012,Tanjung Batu Itam,MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,MGR012,Tanjung Batu Itam,MGR011,Dendang Belitung,MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,MGR011,Dendang Belitung,TJN010,Membalong,MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR008,MGR008MG1,MGR008MG1_TSEL_JangkarAsam,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
