Site ID,Site Name,Longitude,Latitude
AGR001,STO ARGA MAKMUR,102.194,-3.43906
AGR002,PASAR SEBLAT,101.629,-3.19975
AGR003,KETAHUN,101.831,-3.35958
AGR004,TABA PENANJUNG,102.545,-3.66214
AGR005,LAIS,102.05,-3.53342
AGR006,LUBUK DURIAN,102.283,-3.5235
AGR007,KARANG TINGGI,102.455,-3.73114
AGR008,KERKAP,102.186,-3.62139
AGR009,PASAR SEBLAT 2,101.655,-3.25294
AGR010,PONDOK KELAPA,102.24,-3.643
AGR011,TABA LAGAN,102.407,-3.83764
AGR012,PT ALNO ARGA MAKMUR,101.601,-3.13092
AGR013,AIR NAPAL,102.115,-3.58228
AGR014,PEKIK NYARING,102.253,-3.71264
AGR015,ARGA MAKMUR RELOC,102.197,-3.43256
